slug,category,title,primary_query,intent
domashka-posle-kruzhkov,domashka,Домашка после секций и кружков: как всё успеть,как успевать уроки и секции,info
kak-perestat-delat-uroki-do-nochi,domashka,Как перестать делать уроки до ночи: 5 причин и решения,делаю уроки до ночи,info
utrennyaya-domashka,domashka,Делать уроки утром: кому подходит и как организовать,делать уроки утром или вечером,info
domashka-na-kanikulah,domashka,Домашка на каникулы: как сделать её и не потерять отдых,задание на каникулы как сделать,info
kak-sostavit-raspisanie-dnya-shkolnika,productivity,Как составить расписание дня школьника: шаблоны для 5–11 класса,расписание дня школьника,info
tajm-menedzhment-dlya-shkolnikov,productivity,Тайм-менеджмент для школьников: 10 техник без воды,тайм менеджмент для школьников,info
prokrastinaciya-u-podrostkov,productivity,Прокрастинация у подростков: почему возникает и как победить,прокрастинация у подростков,info
kak-zastavit-sebya-uchitsya,productivity,Как заставить себя учиться когда совсем не хочется,как заставить себя учиться,info
motivaciya-k-uchebe,productivity,Мотивация к учёбе: что работает на самом деле,как найти мотивацию к учёбе,info
kak-sosredotochitsya-na-uchebe,productivity,Как сосредоточиться на учёбе: 12 приёмов концентрации,как сосредоточиться на учёбе,info
metod-pomodoro-polnyj-gajd,productivity,Метод помодоро: полный гайд для учёбы и работы,метод помодоро,info
planirovanie-nedeli-studenta,productivity,Планирование недели студента: система которая выдерживает сессию,планирование недели студента,info
matrica-ejzenhauera-dlya-uchyoby,productivity,Матрица Эйзенхауэра для учёбы: что делать первым,матрица эйзенхауэра для школьника,info
deep-work-dlya-shkolnikov,productivity,Глубокая работа для школьников: как учиться в 2 раза быстрее,глубокая работа deep work,info
privychki-uspeshnyh-uchenikov,productivity,10 привычек отличников которые можно скопировать,привычки отличников,info
kak-vyrabotat-privychku-uchitsya,productivity,Как выработать привычку учиться каждый день,как выработать привычку учиться,info
son-i-ucheba,productivity,Сон и учёба: сколько спать школьнику чтобы соображать,сколько спать школьнику,info
kak-vstavat-rano-shkolniku,productivity,Как вставать рано в школу без мучений,как вставать рано в школу,info
vygoranie-u-shkolnikov,productivity,Выгорание у школьников: признаки и что с этим делать,выгорание у школьников,info
kak-otdyhat-chtoby-uchitsya,productivity,Как отдыхать чтобы учёба шла лучше: отдых как навык,как правильно отдыхать школьнику,info
planirovshhik-dlya-shkolnika,productivity,Планировщик для школьника: бумага приложение или дневник,планировщик для школьника,commercial
kak-vesti-ezhednevnik-shkolniku,productivity,Как вести ежедневник школьнику: система на одной странице,как вести ежедневник школьнику,info
metod-getting-things-done-dlya-ucheby,productivity,GTD для учёбы: как разгрузить голову от задач,gtd для студентов,info
cifrovoj-detoks-dlya-podrostka,productivity,Цифровой детокс для подростка: план на неделю без ломки,цифровой детокс подросток,info
kak-perestat-otvlekatsya,productivity,Как перестать отвлекаться: убираем 7 главных пожирателей времени,как перестать отвлекаться,info
mnogozadachnost-mif,productivity,Многозадачность — миф: почему учиться и сидеть в чате нельзя,многозадачность вред,info
kak-stavit-celi-v-uchebe,productivity,Как ставить цели в учёбе: SMART для школьника с примерами,цели в учёбе примеры,info
strik-i-gejmifikaciya-uchyoby,productivity,Стрики и геймификация учёбы: как обмануть мозг и не бросить,геймификация учёбы,info
dnevnik-produktivnosti,productivity,Дневник продуктивности: как за 2 минуты в день понять куда уходит время,куда уходит время,info
kak-uspevat-vsyo-v-shkole,productivity,Как всё успевать в школе: учёба кружки друзья и сон,как всё успевать школьнику,info
utrennij-ritual-shkolnika,productivity,Утренний ритуал школьника: 20 минут которые меняют день,утро школьника,info
vechernij-ritual-i-plan-na-zavtra,productivity,Вечерний план на завтра: привычка которая экономит час,план на завтра,info
kak-borotsya-s-lenyu,productivity,Как бороться с ленью: лень — это не черта характера,как бороться с ленью,info
kak-uchitsya-s-sdvg,productivity,Как учиться с СДВГ: приёмы для школьников и студентов,сдвг у подростка учёба,info
plohie-ocenki-chto-delat,shkola,Плохие оценки: что делать школьнику и как исправить за четверть,плохие оценки что делать,info
kak-ispravit-ocenki-za-chetvert,shkola,Как исправить оценки за четверть: план на 3 недели,как исправить оценки,info
kak-perestat-boyatsya-kontrolnyh,shkola,Как перестать бояться контрольных и отвечать у доски,страх контрольных,info
stress-v-shkole,shkola,Стресс в школе: откуда берётся и как снизить,стресс у школьников,info
trevozhnost-pered-ekzamenom,shkola,Тревожность перед экзаменом: 8 техник которые работают,тревога перед экзаменом,info
konflikt-s-uchitelem,shkola,Конфликт с учителем: как решить без войны,конфликт с учителем что делать,info
uchitel-zanizhaet-ocenki,shkola,Учитель занижает оценки: как понять и что делать,учитель занижает оценки,info
bulling-v-shkole-chto-delat,shkola,Буллинг в школе: что делать если травят,буллинг в школе что делать,info
kak-najti-druzej-v-novoj-shkole,shkola,Как найти друзей в новой школе: план на первый месяц,как найти друзей в новой школе,info
perehod-v-5-klass,shkola,Переход в 5 класс: как не потеряться среди 12 учителей,адаптация в 5 классе,info
perehod-v-10-klass,shkola,Переход в 10 класс: что меняется и как выстроить учёбу,10 класс что меняется,info
9-klass-ostatsya-ili-ujti,shkola,После 9 класса: остаться или уйти в колледж — честное сравнение,после 9 класса куда пойти,info
profilnyj-klass-kak-vybrat,shkola,Как выбрать профильный класс и не пожалеть,профильный класс как выбрать,info
kak-otvechat-u-doski,shkola,Как отвечать у доски и не краснеть: пошаговая техника,как отвечать у доски,info
kak-vesti-konspekt,shkola,Как вести конспект: 5 методов от Корнелла до майндмэп,как вести конспект,info
kak-slushat-na-uroke,shkola,Как слушать на уроке чтобы не учить дома: активное слушание,как быть внимательным на уроке,info
kak-gotovitsya-k-kontrolnoj,shkola,Как готовиться к контрольной за 1 день 3 дня и неделю,как подготовиться к контрольной,info
propustil-shkolu-kak-dognat,shkola,Пропустил школу по болезни: как догнать программу,как догнать школьную программу после болезни,info
shkolnaya-forma-i-pravila,shkola,Школьные правила: что учитель может требовать а что нет,права школьника в школе,info
elektronnyj-dnevnik-kak-polzovatsya,shkola,Электронный дневник: как школьнику извлечь из него пользу,электронный дневник для ученика,info
mesh-kak-polzovatsya-ucheniku,shkola,МЭШ для ученика: домашка оценки расписание — полный гайд,мэш дневник ученика,info
dnevnik-ru-gajd,shkola,Дневник.ру для ученика и родителя: что где найти,дневник ру как пользоваться,info
kak-uchitsya-v-shkole-luchshe,shkola,Как начать учиться лучше: 30-дневный план,как начать хорошо учиться,info
otlichnik-cenoj-zdorovya,shkola,Синдром отличника: когда пятёрки вредят,синдром отличника,info
kak-vyzhit-v-shkole-introvertu,shkola,Школа для интроверта: как учиться в шумном классе,интроверт в школе,info
kak-govorit-s-roditelyami-ob-ocenkah,shkola,Как сказать родителям о двойке: скрипт разговора,как сказать родителям о плохой оценке,info
pervaya-lyubov-i-ucheba,shkola,Влюбился и забросил учёбу: как совместить,отношения и учёба в школе,info
shkolnik-i-podrabotka,shkola,Подработка школьнику: где можно с 14 лет и как не завалить учёбу,подработка для школьников,info
kak-vybrat-professiyu-shkolniku,shkola,Как выбрать профессию в школе: тесты не помогут а это — да,как выбрать профессию школьнику,info
olimpiady-dlya-shkolnikov,shkola,Олимпиады для школьников: зачем участвовать и с чего начать,олимпиады для школьников,info
kak-uchit-inostrannye-slova,shkola,Как учить иностранные слова чтобы не забыть через неделю,как учить слова по английскому,info
pamyat-i-zapominanie,shkola,Как запоминать быстро: техники памяти для школьника,как запоминать информацию быстро,info
chtenie-v-shkole-kak-polyubit,shkola,Не люблю читать: как школьнику подружиться с книгами,как полюбить читать,info
domashka-i-dvizhenie,shkola,Спорт и учёба: как физическая активность повышает оценки,спорт и учёба,info
kak-podgotovitsya-k-ege-s-nulya,ekzameny,Как подготовиться к ЕГЭ с нуля: план на год,подготовка к егэ с нуля,info
plan-podgotovki-k-ege-za-god,ekzameny,План подготовки к ЕГЭ за год: по месяцам и предметам,план подготовки к егэ,info
plan-podgotovki-k-ege-za-3-mesyaca,ekzameny,Подготовка к ЕГЭ за 3 месяца: что реально успеть,подготовка к егэ за 3 месяца,info
kak-podgotovitsya-k-oge,ekzameny,Как подготовиться к ОГЭ: гайд для 9 класса,как подготовиться к огэ,info
oge-kakie-predmety-vybrat,ekzameny,ОГЭ: какие предметы выбрать и как не ошибиться,какие предметы сдавать на огэ,info
ege-kakie-predmety-vybrat,ekzameny,ЕГЭ: какие предметы выбрать под вуз и профессию,какие предметы сдавать на егэ,info
ege-matematika-baza-ili-profil,ekzameny,ЕГЭ по математике: база или профиль,база или профиль егэ,info
ege-profilnaya-matematika-plan,ekzameny,Профильная математика ЕГЭ: план подготовки по заданиям,подготовка к профильной математике,info
ege-russkij-yazyk-plan,ekzameny,ЕГЭ по русскому языку: как набрать 80+ баллов,подготовка к егэ по русскому,info
ege-sochinenie-struktura,ekzameny,Сочинение ЕГЭ: структура шаблон и критерии,сочинение егэ структура,info
itogovoe-sochinenie-gajd,ekzameny,Итоговое сочинение: как получить зачёт с первого раза,итоговое сочинение,info
ege-obshhestvoznanie-plan,ekzameny,ЕГЭ по обществознанию: план подготовки и ловушки,подготовка к егэ по обществознанию,info
ege-istoriya-kak-zapomnit-daty,ekzameny,ЕГЭ по истории: как запомнить даты и не перепутать князей,как запомнить даты по истории,info
ege-anglijskij-plan,ekzameny,ЕГЭ по английскому: подготовка по разделам,подготовка к егэ по английскому,info
ege-fizika-plan,ekzameny,ЕГЭ по физике: с чего начать и как не утонуть в формулах,подготовка к егэ по физике,info
ege-informatika-plan,ekzameny,ЕГЭ по информатике: план и какие задания дают баллы,подготовка к егэ по информатике,info
ege-biologiya-himiya-plan,ekzameny,ЕГЭ по биологии и химии: как учить объёмные предметы,подготовка к егэ по биологии,info
kak-reshat-varianty-ege-pravilno,ekzameny,Как решать варианты ЕГЭ правильно: разбор ошибок важнее решения,как решать варианты егэ,info
tajming-na-ekzamene,ekzameny,Тайминг на экзамене: как распределить время и не запаниковать,время на егэ как распределить,info
chto-vzyat-na-ege,ekzameny,Что взять на ЕГЭ и как проходит день экзамена,что брать на егэ,info
kak-ne-volnovatsya-na-ekzamene,ekzameny,Как не волноваться на экзамене: 10 приёмов на ночь и утро,как не волноваться на экзамене,info
ege-s-repetitorom-ili-samomu,ekzameny,ЕГЭ с репетитором или самому: честное сравнение,подготовка к егэ самостоятельно или с репетитором,commercial
apellyaciya-ege,ekzameny,Апелляция ЕГЭ: когда подавать и как выиграть баллы,апелляция егэ,info
peresdacha-ege,ekzameny,Пересдача ЕГЭ: правила сроки и как подготовиться,пересдача егэ,info
ekzameny-v-kolledzhe,ekzameny,Экзамены в колледже: чем отличаются от школы и как сдавать,экзамены в колледже,info
kak-ponyat-matematiku,predmety,Как понять математику если «не дано»: с чего начать,как понять математику,info
kak-reshat-zadachi-po-matematike,predmety,Как решать задачи по математике: универсальный алгоритм,как научиться решать задачи по математике,info
kak-vyuchit-formuly,predmety,Как выучить формулы по физике и математике навсегда,как выучить формулы,info
kak-vyuchit-tablicu-umnozheniya,predmety,Как выучить таблицу умножения за неделю,как выучить таблицу умножения,info
geometriya-kak-ponyat,predmety,Геометрия: как перестать бояться доказательств,как понять геометрию,info
kak-ponyat-fiziku,predmety,Как понять физику: от формул к смыслу,как понять физику,info
himiya-s-nulya,predmety,Химия с нуля: как разобраться в 8–9 классе,как понять химию,info
kak-vyuchit-anglijskij-shkolniku,predmety,Как выучить английский школьнику без репетитора,как выучить английский самостоятельно школьнику,info
anglijskaya-grammatika-vremena,predmety,Времена в английском: таблица которая наконец всё объясняет,времена в английском языке таблица,info
russkij-yazyk-pravila-kak-zapomnit,predmety,Правила русского языка: как запомнить а не зубрить,как выучить правила русского языка,info
kak-pisat-gramotno,predmety,Как писать грамотно: 7 упражнений на месяц,как научиться писать без ошибок,info
literatura-kak-chitat-programmu,predmety,Как читать школьную литературу и успевать,как быстро прочитать книгу по литературе,info
istoriya-kak-uchit,predmety,Как учить историю: хронология причины и следствия,как учить историю,info
kak-zapomnit-daty,predmety,Как запомнить даты: 5 мнемотехник с примерами,как запомнить даты,info
geografiya-kak-uchit-kartu,predmety,География: как выучить карту и столицы,как выучить карту мира,info
biologiya-kak-uchit,predmety,Биология: как учить термины и системы органов,как учить биологию,info
obshhestvoznanie-kak-uchit,predmety,Обществознание: как понять термины и не путать право с политикой,как учить обществознание,info
informatika-programmirovanie-shkolniku,predmety,Программирование для школьника: с чего начать в 12–16 лет,программирование для школьников с чего начать,info
kak-uchit-slova-po-kartochkam,predmety,Карточки и интервальные повторения: метод Лейтнера для школы,метод лейтнера,info
kak-delat-shpargalki-chtoby-vyuchit,predmety,Шпаргалки как способ выучить: делаем и не пользуемся,как сделать шпаргалку,info
mnemotehniki-dlya-shkolnikov,predmety,Мнемотехники для школьников: дворец памяти и цепочки,мнемотехники для школьников,info
kak-vesti-tetrad-po-matematike,predmety,Как вести тетрадь по математике чтобы по ней можно было готовиться,как вести тетрадь,info
kak-uchit-teoremy,predmety,Как учить теоремы и доказательства,как выучить теорему,info
kak-podtyanut-predmet-za-mesyac,predmety,Как подтянуть предмет за месяц: универсальный план,как подтянуть предмет,info
kak-nauchitsya-pisat-esse,predmety,Как писать эссе по обществознанию и английскому,как писать эссе,info
kak-postupit-v-kolledzh-posle-9,kolledzh-vuz,Как поступить в колледж после 9 класса: конкурс аттестатов и сроки,как поступить в колледж после 9 класса,info
kak-postupit-v-vuz,kolledzh-vuz,Как поступить в вуз: пошаговый план с 10 класса,как поступить в вуз,info
kak-vybrat-vuz,kolledzh-vuz,Как выбрать вуз: 12 критериев кроме рейтинга,как выбрать вуз,info
byudzhet-ili-platnoe,kolledzh-vuz,Бюджет или платное: как посчитать шансы и что делать если не прошёл,не прошёл на бюджет что делать,info
pervyj-kurs-kak-vyzhit,kolledzh-vuz,Первый курс: как не вылететь и не выгореть,первый курс как учиться,info
kak-sdat-sessiyu,kolledzh-vuz,Как сдать сессию: план на месяц и на последнюю ночь,как сдать сессию,info
kak-gotovitsya-k-zachetu,kolledzh-vuz,Как готовиться к зачёту и экзамену в вузе: билеты по системе,как подготовиться к экзамену в вузе,info
kak-pisat-kursovuyu,kolledzh-vuz,Как написать курсовую: план за 2 недели без ночей,как написать курсовую,info
kak-pisat-diplom,kolledzh-vuz,Как написать диплом: помесячный план и чек-лист,как написать диплом,info
kak-pisat-referat,kolledzh-vuz,Как написать реферат: структура оформление источники,как написать реферат,info
ucheba-i-rabota-student,kolledzh-vuz,Учёба и работа: как совмещать студенту и не завалить сессию,как совмещать учёбу и работу,info
akademicheskij-otpusk,kolledzh-vuz,Академический отпуск: когда брать и как вернуться,академический отпуск,info
lekcii-kak-konspektirovat,kolledzh-vuz,Как конспектировать лекции: чтобы потом по ним готовиться,как конспектировать лекции,info
obshhezhitie-i-ucheba,kolledzh-vuz,Общежитие и учёба: как заниматься когда вокруг шумно,как учиться в общежитии,info
studencheskij-tajm-menedzhment,kolledzh-vuz,Тайм-менеджмент студента: расписание пары дедлайны,тайм менеджмент студента,info
perevod-v-drugoj-vuz,kolledzh-vuz,Перевод в другой вуз или на другую специальность,перевод в другой вуз,info
kolledzh-ili-11-klass,kolledzh-vuz,Колледж или 11 класс: что выбрать и почему,колледж или 11 класс,info
kak-uchitsya-zaochno,kolledzh-vuz,Заочное и дистанционное обучение: как не бросить,как учиться заочно,info
stipendiya-kak-poluchit,kolledzh-vuz,Стипендия: виды как получить повышенную,как получить повышенную стипендию,info
kak-podgotovitsya-k-postupleniyu-za-god,kolledzh-vuz,Год до поступления: помесячный план для 11-классника,что делать за год до поступления,info
rebenok-ne-hochet-delat-uroki,roditelyam,Ребёнок не хочет делать уроки: что делать без криков,ребенок не хочет делать уроки,info
kak-pomogat-s-urokami,roditelyam,Как помогать с уроками и когда пора перестать,как помогать ребенку с уроками,info
rebenok-sidit-v-telefone,roditelyam,Ребёнок сидит в телефоне вместо уроков: план а не запрет,ребенок сидит в телефоне что делать,info
kak-motivirovat-rebenka-uchitsya,roditelyam,Как мотивировать ребёнка учиться: деньги за оценки не работают,как мотивировать ребенка учиться,info
rebenok-poluchaet-dvojki,roditelyam,Ребёнок получает двойки: разбираем причины а не ругаем,ребенок получает двойки,info
kontrol-uroki-podrostok,roditelyam,Контролировать ли уроки подростка: где граница,контроль домашнего задания подростка,info
kak-nauchit-rebenka-planirovat,roditelyam,Как научить ребёнка планировать день и задания,как научить ребенка планировать,info
rezhim-dnya-shkolnika-roditelyam,roditelyam,Режим дня школьника: что реально важно и что можно отпустить,режим дня школьника,info
roditelskoe-sobranie-kak-govorit-s-uchitelem,roditelyam,Как говорить с учителем о проблемах ребёнка,как поговорить с учителем ребенка,info
podgotovka-k-ege-roditelyam,roditelyam,ЕГЭ глазами родителя: как поддержать и не давить,как поддержать ребенка перед егэ,info
repetitor-nuzhen-li,roditelyam,Нужен ли репетитор: 7 признаков и как выбрать,нужен ли ребенку репетитор,commercial
semejnyj-planirovshhik-dlya-shkoly,roditelyam,Семейный планировщик для школы: как видеть дз ребёнка без слежки,семейный планировщик,commercial
rebenok-boitsya-shkoly,roditelyam,Ребёнок боится школы: тревога буллинг или учитель,ребенок боится идти в школу,info
kak-proverit-domashku-roditelyu,roditelyam,Как проверять домашку не делая её за ребёнка,как проверять уроки у ребенка,info
pervoklassnik-domashka,roditelyam,Домашка в начальной школе: сколько времени и как помогать,домашнее задание 1 класс,info
kak-zadavat-domashnee-zadanie,uchitelyam,Как задавать домашнее задание которое будут делать,как задавать домашнее задание,info
obratnaya-svyaz-uchenikam,uchitelyam,Обратная связь ученикам: как писать так чтобы читали,обратная связь ученику,info
kak-organizovat-rabotu-uchitelya,uchitelyam,Организация работы учителя: план недели и проверки,планирование работы учителя,info
repetitor-kak-organizovat-uchenikov,uchitelyam,Репетитор: как вести учеников задания и оплату без хаоса,организация работы репетитора,commercial
kak-motivirovat-klass,uchitelyam,Как мотивировать класс делать домашку: 8 приёмов,как мотивировать учеников,info
proverka-tetradej-bystree,uchitelyam,Проверка тетрадей быстрее: система и инструменты,как быстро проверять тетради,info
instrumenty-dlya-uchitelya,uchitelyam,Инструменты для учителя: планировщик дневник сервисы,приложения для учителя,commercial
domashka-po-fgos,uchitelyam,Домашнее задание по нормам: объём время и права ученика,нормы домашнего задания санпин,info
kak-repetitoru-davat-dz,uchitelyam,Домашка от репетитора: сколько задавать и как проверять,домашнее задание репетитора,info
uchitel-i-vygoranie,uchitelyam,Выгорание учителя: признаки и план восстановления,выгорание учителя,info
luchshie-prilozheniya-dlya-shkolnikov,instrumenty,Лучшие приложения для школьников в 2026: планировщики таймеры карточки,приложения для школьников,commercial
luchshie-prilozheniya-dlya-studentov,instrumenty,Лучшие приложения для студентов: учёба конспекты дедлайны,приложения для студентов,commercial
todoist-vs-doday-dlya-shkolnika,instrumenty,Todoist или Doday для школьника: честное сравнение,todoist для школьника,commercial
ticktick-vs-doday,instrumenty,TickTick против Doday: что выбрать для учёбы,ticktick или todoist,commercial
notion-dlya-ucheby-plyusy-minusy,instrumenty,Notion для учёбы: плюсы минусы и когда он лишний,notion для учёбы,commercial
lidertask-vs-doday,instrumenty,ЛидерТаск или Doday: сравнение для учёбы и семьи,лидертаск отзывы,commercial
google-tasks-dlya-ucheby,instrumenty,Google Задачи для учёбы: хватит ли и чего не хватает,google tasks для учёбы,commercial
microsoft-to-do-dlya-shkolnika,instrumenty,Microsoft To Do для школьника: обзор и альтернатива,microsoft to do обзор,commercial
prilozhenie-raspisanie-urokov,instrumenty,Приложение для расписания уроков: что выбрать в 2026,приложение расписание уроков,commercial
prilozhenie-dlya-domashnih-zadanij,instrumenty,Приложение для домашних заданий: топ и сравнение,приложение для домашних заданий,commercial
pomodoro-tajmery-obzor,instrumenty,Помодоро-таймеры: обзор приложений и встроенный в Doday,помодоро таймер приложение,commercial
prilozheniya-dlya-kartochek,instrumenty,Приложения для карточек: Anki Quizlet и альтернативы,приложение для карточек,commercial
bumazhnyj-dnevnik-vs-prilozhenie,instrumenty,Бумажный дневник или приложение: что лучше для школьника,бумажный ежедневник или приложение,commercial
mesh-vs-dnevnik-ru,instrumenty,МЭШ или Дневник.ру: сравнение для ученика и родителя,мэш или дневник ру,commercial
besplatnye-planirovshhiki-zadach,instrumenty,Бесплатные планировщики задач на русском: топ 2026,бесплатный планировщик задач,commercial
prilozhenie-dlya-podgotovki-k-ege,instrumenty,Приложения для подготовки к ЕГЭ: обзор и как совмещать с планировщиком,приложение для подготовки к егэ,commercial
telegram-boty-dlya-ucheby,instrumenty,Telegram-боты для учёбы: напоминания расписание карточки,телеграм бот для учёбы,commercial
kanban-dlya-ucheby,instrumenty,Канбан для учёбы: как школьнику вести доску,канбан для учёбы,info
kalendar-dlya-studenta,instrumenty,Календарь для студента: Google Календарь vs планировщик,календарь для студента,commercial
prilozhenie-dlya-privychek,instrumenty,Приложения для привычек: обзор и встроенный трекер Doday,приложение для привычек,commercial
kak-doday-uskoryaet-domashku,doday,Как Doday ускоряет домашку: разбор по шагам с примерами,приложение чтобы делать уроки быстрее,commercial
import-domashki-iz-mesh-v-doday,doday,Как Doday импортирует домашку из МЭШ и Школьного портала,импорт домашних заданий из мэш,commercial
napominaniya-v-telegram-o-domashke,doday,Напоминания о домашке в Telegram: настройка за 3 минуты,напоминание о домашнем задании телеграм,commercial
raspisanie-urokov-v-doday,doday,Расписание уроков в Doday: предметы цвета и задачи по дням,расписание уроков онлайн,commercial
utrennij-dajdzhest-doday,doday,Утренний дайджест: список дел на день в 7:00 на почту,утренний дайджест задач,commercial
shkolnyj-strik-doday,doday,Школьный стрик: как не пропустить ни одного дня учёбы,стрик учёбы,commercial
bystryj-vvod-zadach-doday,doday,Быстрый ввод: «физика §12 завтра !!!» превращается в задачу,быстрое добавление задач,commercial
doday-dlya-podgotovki-k-ege,doday,Doday для подготовки к ЕГЭ: проект на год с дедлайнами,планировщик подготовки к егэ,commercial
doday-dlya-studenta,doday,Doday для студента: сессия курсовые дедлайны,планировщик для студента,commercial
doday-dlya-roditelej,doday,Doday для родителей: Family-тариф и общий проект с ребёнком,планировщик для семьи с детьми,commercial
telegram-bot-doday-komandy,doday,Telegram-бот Doday: команды /add /today /done и сценарии,телеграм бот для задач,commercial
doday-pomodoro-i-statistika,doday,Помодоро и статистика в Doday: куда уходит время учёбы,трекер времени для учёбы,commercial
doday-besplatno-chto-vhodit,doday,Doday бесплатно: что входит в Free и зачем Pro,бесплатный планировщик для школьников,commercial
istoriya-shkolnika-doday,doday,Как восьмиклассник сократил домашку с 4 часов до 1.5: разбор кейса,как делать уроки быстрее,commercial
doday-dlya-uchitelya,doday,Doday для учителя: планирование проверки и личные дела,планировщик для учителя,commercial
chto-takoe-razbery,razbery,Что такое Razbery: школьное Q&A где разбирают а не списывают,razbery,commercial
kak-zadat-vopros-v-razbery,razbery,Как задать вопрос в Razbery чтобы ответили быстро и понятно,как задать вопрос по учёбе,commercial
razbor-vs-gdz,razbery,Разбор или ГДЗ: почему списывание не даёт оценок,разбор задачи или гдз,info
razbery-vs-znanija,razbery,Razbery или Знания (Brainly): сравнение для школьника,знания ком аналог,commercial
razbery-vs-chatgpt,razbery,Razbery или ChatGPT для домашки: где меньше ошибок,chatgpt для домашнего задания,commercial
razbery-vs-uchi-ru,razbery,Razbery и Учи.ру: разные задачи — объясняем разницу,учи ру аналоги,commercial
razbery-vs-skysmart,razbery,Razbery и Skysmart: бесплатный разбор против платных курсов,skysmart альтернатива,commercial
razbery-vs-gdz-sajty,razbery,Razbery против ГДЗ-сайтов: gdz.ru euroki resheba,гдз сайты,commercial
sajt-gde-otvechayut-na-voprosy-po-uchebe,razbery,Сайт где отвечают на вопросы по учёбе: обзор и куда идти,сайт где отвечают на вопросы по учебе,commercial
gde-sprosit-pro-domashku,razbery,Где спросить про домашку если никто не объясняет,где спросить помощь с домашним заданием,commercial
kak-razobrat-zadachu-po-matematike,razbery,Как разобрать задачу по математике: метод 4 вопросов,разбор задачи по математике,info
razbor-zadach-po-fizike,razbery,Разбор задач по физике: почему ответ не главное,разбор задач по физике,info
razbor-zadach-po-himii,razbery,Разбор задач по химии: уравнения и моли без паники,решение задач по химии с объяснением,info
razbor-uravnenij,razbery,Разбор уравнений: линейные квадратные и с параметром,решение уравнений с объяснением,info
razbor-zadach-na-procenty,razbery,Задачи на проценты: разбор 10 типовых с объяснением,задачи на проценты с решением,info
razbor-zadach-na-dvizhenie,razbery,Задачи на движение: разбор с таблицей и объяснением,задачи на движение с решением,info
razbor-geometriya-7-klass,razbery,Геометрия 7 класс: разбор типовых задач на треугольники,геометрия 7 класс задачи с решением,info
razbor-geometriya-8-klass,razbery,Геометрия 8 класс: четырёхугольники и подобие с разбором,геометрия 8 класс задачи с решением,info
razbor-algebra-7-klass,razbery,Алгебра 7 класс: формулы сокращённого умножения с разбором,алгебра 7 класс объяснение,info
